@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
-17,-15,-12,False,True,True,True,True,7,10,19,27,1,9,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,6,7,18,28,1,8,South,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,5,5,17,28,1,7,South,True,False,True,False,South
-20,-18,-15,False,True,True,True,True,7,10,16,28,1,6,South,True,False,False,False,South
-21,-19,-16,False,True,True,True,True,4,5,20,29,1,5,South,True,False,False,False,South
178,-20,-17,False,True,True,True,True,9,3,20,26,1,4,South,True,False,False,False,East
177,-21,-18,False,True,True,True,True,9,4,19,26,2,4,East,False,False,False,False,East
176,178,-19,False,True,True,True,True,9,2,17,28,3,4,East,False,False,False,False,East
175,177,-20,False,True,True,True,True,6,8,16,27,4,4,East,False,False,False,False,South
174,176,-21,False,True,True,True,True,2,2,15,26,4,3,South,False,True,False,False,East
173,175,178,False,True,False,True,True,7,0,12,26,5,3,East,False,True,False,False,North
372,174,177,False,True,False,True,True,5,0,11,27,5,4,North,False,False,True,False,North
371,173,176,False,True,False,True,True,1,0,14,26,5,5,North,False,False,True,False,North
370,372,175,False,True,False,True,True,4,0,19,21,5,6,North,False,False,False,False,North
369,371,174,False,True,False,True,True,0,0,13,22,5,7,North,False,False,False,False,North
368,370,173,False,True,False,True,True,2,0,15,28,5,8,North,False,False,False,False,West
