@relation prueba

@attribute score5 NUMERIC
@attribute score2 NUMERIC
@attribute score NUMERIC
@attribute ghost0-living {True, False}
@attribute ghost1-living {True, False}
@attribute ghost2-living {True, False}
@attribute ghost3-living {True, False}
@attribute ghost4-living {True, False}
@attribute distance-ghost1 NUMERIC 
@attribute distance-ghost2 NUMERIC 
@attribute distance-ghost3 NUMERIC 
@attribute distance-ghost4 NUMERIC 
@attribute posX NUMERIC
@attribute posY NUMERIC
@attribute direction {North, South, East, West, Stop}
@attribute wall-east {True, False}
@attribute wall-south {True, False}
@attribute wall-west {True, False}
@attribute wall-north {True, False}
@attribute move {North, South, East, West, Stop}

@data
-19,-17,-14,False,True,True,True,True,6,10,9,30,2,6,East,False,False,False,True,East
-20,-18,-15,False,True,True,True,True,7,7,11,29,3,6,East,False,False,False,False,East
-21,-19,-16,False,True,True,True,True,7,7,6,28,4,6,East,False,False,False,False,East
178,-20,-17,False,True,True,True,True,5,5,8,27,5,6,East,False,False,False,False,East
377,-21,-18,False,True,True,True,True,3,5,8,27,6,6,East,False,True,False,False,East
376,178,-19,False,True,True,True,True,2,4,9,26,7,6,East,False,True,False,True,East
375,377,-20,False,True,True,True,True,2,2,10,26,8,6,East,False,False,False,False,South
374,376,-21,False,True,True,True,True,0,5,11,29,8,5,South,True,False,False,False,South
373,375,178,False,True,False,True,True,0,0,9,26,8,4,South,True,False,False,False,East
372,374,377,False,False,False,True,True,0,0,11,27,9,4,East,False,False,False,False,North
371,373,376,False,False,False,True,True,0,0,7,29,9,5,North,False,False,False,False,North
370,372,375,False,False,False,True,True,0,0,8,26,9,6,North,False,False,False,False,North
369,371,374,False,False,False,True,True,0,0,6,25,9,7,North,False,False,False,False,North
368,370,373,False,False,False,True,True,0,0,9,20,9,8,North,False,False,False,False,North
367,369,372,False,False,False,True,True,0,0,7,23,9,9,North,False,False,False,False,North
366,368,371,False,False,False,True,True,0,0,12,26,9,10,North,False,False,False,False,North
365,367,370,False,False,False,True,True,0,0,12,21,9,11,North,False,False,False,False,North
364,366,369,False,False,False,True,True,0,0,14,18,9,12,North,False,False,False,False,North
363,365,368,False,False,False,True,True,0,0,16,12,9,13,North,False,False,False,False,North
362,364,367,False,False,False,True,True,0,0,18,19,9,14,North,False,False,False,False,North
361,363,366,False,False,False,True,True,0,0,19,17,9,15,North,False,False,False,False,East
360,362,365,False,False,False,True,True,0,0,17,13,10,15,East,False,False,False,False,East
359,361,364,False,False,False,True,True,0,0,17,16,11,15,East,False,True,False,False,East
358,360,363,False,False,False,True,True,0,0,16,17,12,15,East,False,False,False,False,East
357,359,362,False,False,False,True,True,0,0,14,14,13,15,East,False,False,False,False,East
356,358,361,False,False,False,True,True,0,0,14,14,14,15,East,False,False,False,False,East
355,357,360,False,False,False,True,True,0,0,13,11,15,15,East,False,False,False,False,South
354,356,359,False,False,False,True,True,0,0,18,10,15,14,South,False,True,False,False,East
353,355,358,False,False,False,True,True,0,0,12,10,16,14,East,False,True,False,False,East
352,354,357,False,False,False,True,True,0,0,13,5,17,14,East,False,False,False,False,East
351,353,356,False,False,False,True,True,0,0,12,11,18,14,East,False,False,False,True,East
350,352,355,False,False,False,True,True,0,0,11,5,19,14,East,False,False,False,True,East
349,351,354,False,False,False,True,True,0,0,13,2,20,14,East,False,False,True,False,North
348,350,353,False,False,False,True,True,0,0,15,7,20,15,North,True,False,False,False,East
347,349,352,False,False,False,True,True,0,0,12,2,21,15,East,False,True,False,False,East
346,348,351,False,False,False,True,True,0,0,18,2,22,15,East,False,False,False,False,East
345,347,350,False,False,False,True,True,0,0,22,3,23,15,East,False,False,False,False,South
344,346,349,False,False,False,True,True,0,0,13,0,23,14,South,False,False,False,False,South
343,345,348,False,False,False,True,True,0,0,14,4,23,13,South,False,True,True,False,West
542,344,347,False,False,False,True,True,0,0,12,2,22,13,West,True,True,False,False,North
541,343,346,False,False,False,True,True,0,0,9,5,22,14,North,True,False,False,False,North
540,542,345,False,False,False,True,True,0,0,10,2,22,15,North,False,False,False,False,East
539,541,344,False,False,False,True,True,0,0,14,1,23,15,East,False,False,False,False,East
538,540,343,False,False,False,True,True,0,0,15,1,24,15,East,False,False,False,False,North
537,539,542,False,False,False,True,False,0,0,11,0,24,16,North,False,False,False,True,West
536,538,541,False,False,False,True,False,0,0,16,0,23,16,West,False,False,False,True,West
535,537,540,False,False,False,True,False,0,0,13,0,22,16,West,False,False,False,True,West
534,536,539,False,False,False,True,False,0,0,19,0,21,16,West,False,False,False,False,West
533,535,538,False,False,False,True,False,0,0,14,0,20,16,West,True,False,False,False,South
532,534,537,False,False,False,True,False,0,0,17,0,20,15,South,True,False,False,False,South
531,533,536,False,False,False,True,False,0,0,12,0,20,14,South,False,False,True,False,South
530,532,535,False,False,False,True,False,0,0,9,0,20,13,South,False,False,True,False,South
529,531,534,False,False,False,True,False,0,0,10,0,20,12,South,False,False,True,False,South
528,530,533,False,False,False,True,False,0,0,6,0,20,11,South,False,False,True,False,South
527,529,532,False,False,False,True,False,0,0,12,0,20,10,South,False,True,False,False,East
526,528,531,False,False,False,True,False,0,0,7,0,21,10,East,False,True,False,True,East
525,527,530,False,False,False,True,False,0,0,10,0,22,10,East,False,True,False,False,East
524,526,529,False,False,False,True,False,0,0,9,0,23,10,East,False,False,False,False,South
523,525,528,False,False,False,True,False,0,0,5,0,23,9,South,True,False,False,False,South
522,524,527,False,False,False,True,False,0,0,8,0,23,8,South,False,False,False,False,South
521,523,526,False,False,False,True,False,0,0,4,0,23,7,South,True,False,False,False,South
-5,-3,0,False,True,True,True,True,12,25,32,27,1,18,Stop,True,False,False,True,Stop
-6,-4,-1,False,True,True,True,True,12,25,26,29,1,18,Stop,True,False,False,True,Stop
-7,-5,-2,False,True,True,True,True,12,25,32,24,1,18,Stop,True,False,False,True,Stop
-8,-6,-3,False,True,True,True,True,14,24,29,28,1,18,Stop,True,False,False,True,South
-9,-7,-4,False,True,True,True,True,11,21,27,26,1,17,South,True,False,True,False,South
-10,-8,-5,False,True,True,True,True,14,21,27,25,1,16,South,True,False,False,False,South
-11,-9,-6,False,True,True,True,True,12,25,26,25,1,15,South,True,False,False,False,South
-12,-10,-7,False,True,True,True,True,13,19,25,22,1,14,South,True,False,False,False,South
-13,-11,-8,False,True,True,True,True,12,13,23,22,1,13,South,True,False,True,False,South
-14,-12,-9,False,True,True,True,True,14,19,24,26,1,12,South,True,False,False,False,South
-15,-13,-10,False,True,True,True,True,10,16,25,27,1,11,South,True,False,True,False,South
-16,-14,-11,False,True,True,True,True,9,18,23,28,1,10,South,True,False,True,False,South
-17,-15,-12,False,True,True,True,True,8,18,22,36,1,9,South,True,False,True,False,South
-18,-16,-13,False,True,True,True,True,8,10,18,30,1,8,South,True,False,True,False,South
-19,-17,-14,False,True,True,True,True,10,14,17,31,1,7,South,True,False,True,False,South
-20,-18,-15,False,True,True,True,True,6,10,19,33,1,6,South,True,False,False,False,East
-21,-19,-16,False,True,True,True,True,7,6,23,27,2,6,East,False,False,False,True,East
-22,-20,-17,False,True,True,True,True,5,8,18,29,3,6,East,False,False,False,False,East
-23,-21,-18,False,True,True,True,True,12,9,17,27,4,6,East,False,False,False,False,East
-24,-22,-19,False,True,True,True,True,8,8,17,26,5,6,East,False,False,False,False,East
175,-23,-20,False,True,True,True,True,4,5,15,23,6,6,East,False,True,False,False,East
174,-24,-21,False,True,True,True,True,7,5,12,23,7,6,East,False,True,False,True,East
173,175,-22,False,True,True,True,True,6,4,13,26,8,6,East,False,False,False,False,South
172,174,-23,False,True,True,True,True,8,3,19,24,8,5,South,True,False,False,False,South
171,173,-24,False,True,True,True,True,6,2,19,26,8,4,South,True,False,False,False,South
170,172,175,False,True,False,True,True,9,0,20,29,8,3,South,False,True,False,False,West
169,171,174,False,True,False,True,True,7,0,17,29,7,3,West,False,True,False,True,East
168,170,173,False,True,False,True,True,5,0,20,27,8,3,East,False,True,False,False,North
367,169,172,False,True,False,True,True,3,0,20,25,8,4,North,True,False,False,False,North
366,168,171,False,True,False,True,True,4,0,18,26,8,5,North,True,False,False,False,East
365,367,170,False,True,False,True,True,0,0,17,23,9,5,East,False,False,False,False,East
364,366,169,False,True,False,True,True,4,0,16,21,10,5,East,False,False,False,False,East
363,365,168,False,True,False,True,True,1,0,13,25,11,5,East,False,False,True,False,North
362,364,367,False,False,False,True,True,0,0,14,23,11,6,North,False,False,True,False,North
361,363,366,False,False,False,True,True,0,0,12,20,11,7,North,False,False,True,False,North
360,362,365,False,False,False,True,True,0,0,13,19,11,8,North,False,False,True,False,North
359,361,364,False,False,False,True,True,0,0,13,19,11,9,North,False,False,True,False,North
358,360,363,False,False,False,True,True,0,0,12,18,11,10,North,False,False,True,False,North
357,359,362,False,False,False,True,True,0,0,14,18,11,11,North,False,False,True,False,North
356,358,361,False,False,False,True,True,0,0,14,18,11,12,North,False,False,False,True,East
355,357,360,False,False,False,True,True,0,0,17,14,12,12,East,False,True,False,True,East
354,356,359,False,False,False,True,True,0,0,16,10,13,12,East,False,False,False,True,East
353,355,358,False,False,False,True,True,0,0,14,16,14,12,East,False,False,False,False,East
352,354,357,False,False,False,True,True,0,0,13,4,15,12,East,False,False,False,True,East
351,353,356,False,False,False,True,True,0,0,8,7,16,12,East,False,False,False,True,East
350,352,355,False,False,False,True,True,0,0,11,8,17,12,East,False,False,False,False,North
549,351,354,False,False,False,True,True,0,0,9,7,17,13,North,True,False,False,False,North
548,350,353,False,False,False,True,True,0,0,12,5,17,14,North,False,False,False,False,North
547,549,352,False,False,False,True,True,0,0,13,2,17,15,North,False,False,True,False,North
546,548,351,False,False,False,True,True,0,0,14,1,17,16,North,False,False,True,False,North
545,547,350,False,False,False,True,True,0,0,16,2,17,17,North,False,False,False,False,North
544,546,549,False,False,False,True,False,0,0,12,0,17,18,North,False,False,False,True,West
543,545,548,False,False,False,True,False,0,0,14,0,16,18,West,False,False,False,True,South
