@relation manual-filter-data

@attribute score5 numeric
@attribute score2 numeric
@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute distancia-media numeric
@attribute move {North,South,East,West,Stop}

@data
536,538,541,False,False,True,False,0,0,20,0,25,16,South,5,South
535,537,540,False,False,True,False,0,0,16,0,25,15,South,4,West
534,536,539,False,False,True,False,0,0,21,0,24,15,West,5.25,West
533,535,538,False,False,True,False,0,0,18,0,23,15,West,4.5,West
532,534,537,False,False,True,False,0,0,18,0,22,15,West,4.5,West
531,533,536,False,False,True,False,0,0,17,0,21,15,West,4.25,West
530,532,535,False,False,True,False,0,0,15,0,20,15,West,3.75,South
529,531,534,False,False,True,False,0,0,12,0,20,14,South,3,South
528,530,533,False,False,True,False,0,0,11,0,20,13,South,2.75,South
527,529,532,False,False,True,False,0,0,13,0,20,12,South,3.25,South
526,528,531,False,False,True,False,0,0,14,0,20,11,South,3.5,South
525,527,530,False,False,True,False,0,0,8,0,20,10,South,2,West
524,526,529,False,False,True,False,0,0,12,0,19,10,West,3,West
523,525,528,False,False,True,False,0,0,12,0,18,10,West,3,West
522,524,527,False,False,True,False,0,0,10,0,17,10,West,2.5,West
521,523,526,False,False,True,False,0,0,9,0,16,10,West,2.25,West
520,522,525,False,False,True,False,0,0,6,0,15,10,West,1.5,West
519,521,524,False,False,True,False,0,0,10,0,14,10,West,2.5,South
518,520,523,False,False,True,False,0,0,7,0,14,9,South,1.75,South
517,519,522,False,False,True,False,0,0,5,0,14,8,South,1.25,South
516,518,521,False,False,True,False,0,0,6,0,14,7,South,1.5,South
515,517,520,False,False,True,False,0,0,3,0,14,6,South,0.75,South
514,516,519,False,False,True,False,0,0,3,0,14,5,South,0.75,South
513,515,518,False,False,True,False,0,0,4,0,14,4,South,1,South
512,514,517,False,False,True,False,0,0,0,0,14,3,South,0,West
511,513,516,False,False,True,False,0,0,8,0,13,3,West,2,North
510,512,515,False,False,True,False,0,0,5,0,13,4,North,1.25,East
-6,-4,-1,True,True,True,True,19,26,27,34,1,18,Stop,26.5,South
-7,-5,-2,True,True,True,True,13,21,27,30,1,17,South,22.75,South
-8,-6,-3,True,True,True,True,16,21,23,27,1,16,South,21.75,South
-9,-7,-4,True,True,True,True,12,19,21,24,1,15,South,19,South
-10,-8,-5,True,True,True,True,13,20,17,23,1,14,South,18.25,South
-11,-9,-6,True,True,True,True,13,22,16,27,1,13,South,19.5,South
-12,-10,-7,True,True,True,True,12,16,18,27,1,12,South,18.25,South
-13,-11,-8,True,True,True,True,12,18,16,29,1,11,South,18.75,South
-14,-12,-9,True,True,True,True,11,12,18,28,1,10,South,17.25,South
-15,-13,-10,True,True,True,True,4,13,15,28,1,9,South,15,South
-16,-14,-11,True,True,True,True,11,14,13,27,1,8,South,16.25,South
-17,-15,-12,True,True,True,True,7,11,13,30,1,7,South,15.25,South
-18,-16,-13,True,True,True,True,6,13,13,30,1,6,South,15.5,East
-19,-17,-14,True,True,True,True,6,10,9,30,2,6,East,13.75,East
-20,-18,-15,True,True,True,True,7,7,11,29,3,6,East,13.5,East
-21,-19,-16,True,True,True,True,7,7,6,28,4,6,East,12,East
178,-20,-17,True,True,True,True,5,5,8,27,5,6,East,11.25,East
377,-21,-18,True,True,True,True,3,5,8,27,6,6,East,10.75,East
376,178,-19,True,True,True,True,2,4,9,26,7,6,East,10.25,East
375,377,-20,True,True,True,True,2,2,10,26,8,6,East,10,South
374,376,-21,True,True,True,True,0,5,11,29,8,5,South,11.25,South
373,375,178,True,False,True,True,0,0,9,26,8,4,South,8.75,East
372,374,377,False,False,True,True,0,0,11,27,9,4,East,9.5,North
371,373,376,False,False,True,True,0,0,7,29,9,5,North,9,North
370,372,375,False,False,True,True,0,0,8,26,9,6,North,8.5,North
369,371,374,False,False,True,True,0,0,6,25,9,7,North,7.75,North
368,370,373,False,False,True,True,0,0,9,20,9,8,North,7.25,North
367,369,372,False,False,True,True,0,0,7,23,9,9,North,7.5,North
366,368,371,False,False,True,True,0,0,12,26,9,10,North,9.5,North
365,367,370,False,False,True,True,0,0,12,21,9,11,North,8.25,North
364,366,369,False,False,True,True,0,0,14,18,9,12,North,8,North
363,365,368,False,False,True,True,0,0,16,12,9,13,North,7,North
362,364,367,False,False,True,True,0,0,18,19,9,14,North,9.25,North
361,363,366,False,False,True,True,0,0,19,17,9,15,North,9,East
360,362,365,False,False,True,True,0,0,17,13,10,15,East,7.5,East
359,361,364,False,False,True,True,0,0,17,16,11,15,East,8.25,East
358,360,363,False,False,True,True,0,0,16,17,12,15,East,8.25,East
357,359,362,False,False,True,True,0,0,14,14,13,15,East,7,East
356,358,361,False,False,True,True,0,0,14,14,14,15,East,7,East
355,357,360,False,False,True,True,0,0,13,11,15,15,East,6,South
354,356,359,False,False,True,True,0,0,18,10,15,14,South,7,East
353,355,358,False,False,True,True,0,0,12,10,16,14,East,5.5,East
352,354,357,False,False,True,True,0,0,13,5,17,14,East,4.5,East
351,353,356,False,False,True,True,0,0,12,11,18,14,East,5.75,East
350,352,355,False,False,True,True,0,0,11,5,19,14,East,4,East
349,351,354,False,False,True,True,0,0,13,2,20,14,East,3.75,North
348,350,353,False,False,True,True,0,0,15,7,20,15,North,5.5,East
347,349,352,False,False,True,True,0,0,12,2,21,15,East,3.5,East
346,348,351,False,False,True,True,0,0,18,2,22,15,East,5,East
345,347,350,False,False,True,True,0,0,22,3,23,15,East,6.25,South
344,346,349,False,False,True,True,0,0,13,0,23,14,South,3.25,South
343,345,348,False,False,True,True,0,0,14,4,23,13,South,4.5,West
542,344,347,False,False,True,True,0,0,12,2,22,13,West,3.5,North
541,343,346,False,False,True,True,0,0,9,5,22,14,North,3.5,North
540,542,345,False,False,True,True,0,0,10,2,22,15,North,3,East
539,541,344,False,False,True,True,0,0,14,1,23,15,East,3.75,East
538,540,343,False,False,True,True,0,0,15,1,24,15,East,4,North
537,539,542,False,False,True,False,0,0,11,0,24,16,North,2.75,West
536,538,541,False,False,True,False,0,0,16,0,23,16,West,4,West
535,537,540,False,False,True,False,0,0,13,0,22,16,West,3.25,West
534,536,539,False,False,True,False,0,0,19,0,21,16,West,4.75,West
533,535,538,False,False,True,False,0,0,14,0,20,16,West,3.5,South
532,534,537,False,False,True,False,0,0,17,0,20,15,South,4.25,South
531,533,536,False,False,True,False,0,0,12,0,20,14,South,3,South
530,532,535,False,False,True,False,0,0,9,0,20,13,South,2.25,South
529,531,534,False,False,True,False,0,0,10,0,20,12,South,2.5,South
528,530,533,False,False,True,False,0,0,6,0,20,11,South,1.5,South
527,529,532,False,False,True,False,0,0,12,0,20,10,South,3,East
526,528,531,False,False,True,False,0,0,7,0,21,10,East,1.75,East
525,527,530,False,False,True,False,0,0,10,0,22,10,East,2.5,East
524,526,529,False,False,True,False,0,0,9,0,23,10,East,2.25,South
523,525,528,False,False,True,False,0,0,5,0,23,9,South,1.25,South
522,524,527,False,False,True,False,0,0,8,0,23,8,South,2,South
521,523,526,False,False,True,False,0,0,4,0,23,7,South,1,South
-8,-6,-3,True,True,True,True,14,24,29,28,1,18,Stop,23.75,South
-9,-7,-4,True,True,True,True,11,21,27,26,1,17,South,21.25,South
-10,-8,-5,True,True,True,True,14,21,27,25,1,16,South,21.75,South
-11,-9,-6,True,True,True,True,12,25,26,25,1,15,South,22,South
-12,-10,-7,True,True,True,True,13,19,25,22,1,14,South,19.75,South
-13,-11,-8,True,True,True,True,12,13,23,22,1,13,South,17.5,South
-14,-12,-9,True,True,True,True,14,19,24,26,1,12,South,20.75,South
-15,-13,-10,True,True,True,True,10,16,25,27,1,11,South,19.5,South
-16,-14,-11,True,True,True,True,9,18,23,28,1,10,South,19.5,South
-17,-15,-12,True,True,True,True,8,18,22,36,1,9,South,21,South
-18,-16,-13,True,True,True,True,8,10,18,30,1,8,South,16.5,South
-19,-17,-14,True,True,True,True,10,14,17,31,1,7,South,18,South
-20,-18,-15,True,True,True,True,6,10,19,33,1,6,South,17,East
-21,-19,-16,True,True,True,True,7,6,23,27,2,6,East,15.75,East
-22,-20,-17,True,True,True,True,5,8,18,29,3,6,East,15,East
-23,-21,-18,True,True,True,True,12,9,17,27,4,6,East,16.25,East
-24,-22,-19,True,True,True,True,8,8,17,26,5,6,East,14.75,East
175,-23,-20,True,True,True,True,4,5,15,23,6,6,East,11.75,East
174,-24,-21,True,True,True,True,7,5,12,23,7,6,East,11.75,East
173,175,-22,True,True,True,True,6,4,13,26,8,6,East,12.25,South
172,174,-23,True,True,True,True,8,3,19,24,8,5,South,13.5,South
171,173,-24,True,True,True,True,6,2,19,26,8,4,South,13.25,South
170,172,175,True,False,True,True,9,0,20,29,8,3,South,14.5,West
169,171,174,True,False,True,True,7,0,17,29,7,3,West,13.25,East
168,170,173,True,False,True,True,5,0,20,27,8,3,East,13,North
367,169,172,True,False,True,True,3,0,20,25,8,4,North,12,North
366,168,171,True,False,True,True,4,0,18,26,8,5,North,12,East
365,367,170,True,False,True,True,0,0,17,23,9,5,East,10,East
364,366,169,True,False,True,True,4,0,16,21,10,5,East,10.25,East
363,365,168,True,False,True,True,1,0,13,25,11,5,East,9.75,North
362,364,367,False,False,True,True,0,0,14,23,11,6,North,9.25,North
361,363,366,False,False,True,True,0,0,12,20,11,7,North,8,North
360,362,365,False,False,True,True,0,0,13,19,11,8,North,8,North
359,361,364,False,False,True,True,0,0,13,19,11,9,North,8,North
358,360,363,False,False,True,True,0,0,12,18,11,10,North,7.5,North
357,359,362,False,False,True,True,0,0,14,18,11,11,North,8,North
356,358,361,False,False,True,True,0,0,14,18,11,12,North,8,East
355,357,360,False,False,True,True,0,0,17,14,12,12,East,7.75,East
354,356,359,False,False,True,True,0,0,16,10,13,12,East,6.5,East
353,355,358,False,False,True,True,0,0,14,16,14,12,East,7.5,East
352,354,357,False,False,True,True,0,0,13,4,15,12,East,4.25,East
351,353,356,False,False,True,True,0,0,8,7,16,12,East,3.75,East
350,352,355,False,False,True,True,0,0,11,8,17,12,East,4.75,North
549,351,354,False,False,True,True,0,0,9,7,17,13,North,4,North
548,350,353,False,False,True,True,0,0,12,5,17,14,North,4.25,North
547,549,352,False,False,True,True,0,0,13,2,17,15,North,3.75,North
546,548,351,False,False,True,True,0,0,14,1,17,16,North,3.75,North
545,547,350,False,False,True,True,0,0,16,2,17,17,North,4.5,North
544,546,549,False,False,True,False,0,0,12,0,17,18,North,3,West
543,545,548,False,False,True,False,0,0,14,0,16,18,West,3.5,South
542,544,547,False,False,True,False,0,0,12,0,16,17,South,3,South
541,543,546,False,False,True,False,0,0,11,0,16,16,South,2.75,South
540,542,545,False,False,True,False,0,0,14,0,16,15,South,3.5,South
539,541,544,False,False,True,False,0,0,12,0,16,14,South,3,East
538,540,543,False,False,True,False,0,0,10,0,17,14,East,2.5,East
537,539,542,False,False,True,False,0,0,11,0,18,14,East,2.75,South
536,538,541,False,False,True,False,0,0,10,0,18,13,South,2.5,South
535,537,540,False,False,True,False,0,0,11,0,18,12,South,2.75,South
534,536,539,False,False,True,False,0,0,5,0,18,11,South,1.25,East
533,535,538,False,False,True,False,0,0,5,0,19,11,East,1.25,South
532,534,537,False,False,True,False,0,0,0,0,19,10,South,0,East
531,533,536,False,False,True,False,0,0,10,0,20,10,East,2.5,East
530,532,535,False,False,True,False,0,0,8,0,21,10,East,2,East
529,531,534,False,False,True,False,0,0,9,0,22,10,East,2.25,East
528,530,533,False,False,True,False,0,0,13,0,23,10,East,3.25,South
527,529,532,False,False,True,False,0,0,9,0,23,9,South,2.25,South
526,528,531,False,False,True,False,0,0,9,0,23,8,South,2.25,South
525,527,530,False,False,True,False,0,0,9,0,23,7,South,2.25,South
524,526,529,False,False,True,False,0,0,6,0,23,6,South,1.5,West
-7,-5,-2,True,True,True,True,15,17,13,17,1,18,Stop,15.5,South
-8,-6,-3,True,True,True,True,14,17,14,14,1,17,South,14.75,South
-9,-7,-4,True,True,True,True,16,13,13,15,1,16,South,14.25,South
-10,-8,-5,True,True,True,True,14,8,7,12,1,15,South,10.25,South
-11,-9,-6,True,True,True,True,13,16,7,10,1,14,South,11.5,South
-12,-10,-7,True,True,True,True,13,11,7,11,1,13,South,10.5,South
-13,-11,-8,True,True,True,True,14,7,7,9,1,12,South,9.25,South
186,-12,-9,True,True,True,True,10,5,5,7,1,11,South,6.75,South
185,-13,-10,True,True,True,True,11,7,4,3,1,10,South,6.25,South
184,186,-11,True,True,True,True,9,6,1,4,1,9,South,5,South
183,185,-12,True,True,True,True,7,5,5,6,1,8,South,5.75,South
382,184,-13,True,True,True,True,7,7,5,6,1,7,South,6.25,South
381,183,186,True,True,True,False,4,7,5,0,1,6,South,4,South
380,382,185,True,True,True,False,8,5,5,0,1,5,South,4.5,East
379,381,184,True,True,True,False,0,6,4,0,2,5,East,2.5,East
378,380,183,True,True,True,False,1,6,0,0,3,5,East,1.75,South
377,379,382,False,True,True,False,0,3,5,0,3,4,South,2,North
576,378,381,False,True,True,False,0,6,4,0,3,5,North,2.5,North
575,377,380,False,True,True,False,0,9,6,0,3,6,North,3.75,East
574,576,379,False,True,True,False,0,10,5,0,4,6,East,3.75,North
573,575,378,False,True,True,False,0,10,0,0,4,7,North,2.5,North
572,574,377,False,True,True,False,0,11,2,0,4,8,North,3.25,North
571,573,576,False,True,False,False,0,9,0,0,4,9,North,2.25,South
570,572,575,False,True,False,False,0,7,0,0,4,8,South,1.75,South
569,571,574,False,True,False,False,0,8,0,0,4,7,South,2,South
568,570,573,False,True,False,False,0,7,0,0,4,6,South,1.75,South
567,569,572,False,True,False,False,0,5,0,0,4,5,South,1.25,South
566,568,571,False,True,False,False,0,4,0,0,4,4,South,1,East
-8,-6,-3,True,True,True,True,16,16,14,18,1,18,Stop,16,South
-9,-7,-4,True,True,True,True,15,10,13,12,1,17,South,12.5,South
-10,-8,-5,True,True,True,True,14,13,11,19,1,16,South,14.25,South
-11,-9,-6,True,True,True,True,6,13,8,15,1,15,South,10.5,South
-12,-10,-7,True,True,True,True,16,11,4,18,1,14,South,12.25,South
-13,-11,-8,True,True,True,True,10,9,7,15,1,13,South,10.25,South
-14,-12,-9,True,True,True,True,9,10,5,11,1,12,South,8.75,South
-15,-13,-10,True,True,True,True,9,7,3,15,1,11,South,8.5,South
184,-14,-11,True,True,True,True,10,9,2,14,1,10,South,8.75,South
183,-15,-12,True,True,True,True,6,6,6,13,1,9,South,7.75,South
382,184,-13,True,True,True,True,3,5,2,8,1,8,South,4.5,South
381,183,-14,True,True,True,True,3,1,5,11,1,7,South,5,South
380,382,-15,True,True,True,True,0,5,8,8,1,6,South,5.25,South
379,381,184,False,True,True,True,0,5,7,13,1,5,South,6.25,South
378,380,183,False,True,True,True,0,2,9,12,1,4,South,5.75,East
377,379,382,False,False,True,True,0,0,8,10,2,4,East,4.5,East
376,378,381,False,False,True,True,0,0,8,8,3,4,East,4,North
375,377,380,False,False,True,True,0,0,7,6,3,5,North,3.25,North
374,376,379,False,False,True,True,0,0,5,4,3,6,North,2.25,North
373,375,378,False,False,True,True,0,0,4,4,3,7,North,2,East
572,374,377,False,False,True,True,0,0,0,5,4,7,East,1.25,North
571,373,376,False,False,True,True,0,0,2,4,4,8,North,1.5,West
570,572,375,False,False,True,True,0,0,6,7,3,8,West,3.25,North
569,571,374,False,False,True,True,0,0,4,9,3,9,North,3.25,East
568,570,373,False,False,True,True,0,0,2,8,4,9,East,2.5,North
567,569,572,False,False,False,True,0,0,0,8,4,10,North,2,South
566,568,571,False,False,False,True,0,0,0,6,4,9,South,1.5,South
565,567,570,False,False,False,True,0,0,0,10,4,8,South,2.5,South
564,566,569,False,False,False,True,0,0,0,5,4,7,South,1.25,South
563,565,568,False,False,False,True,0,0,0,6,4,6,South,1.5,East
562,564,567,False,False,False,True,0,0,0,0,5,6,East,0,East
561,563,566,False,False,False,True,0,0,0,3,6,6,East,0.75,East
-6,-4,-1,True,True,True,True,15,16,16,16,1,18,Stop,15.75,South
-7,-5,-2,True,True,True,True,15,13,12,11,1,17,South,12.75,South
-8,-6,-3,True,True,True,True,13,7,7,12,1,16,South,9.75,South
-9,-7,-4,True,True,True,True,13,14,8,12,1,15,South,11.75,South
-10,-8,-5,True,True,True,True,9,7,11,12,1,14,South,9.75,South
-11,-9,-6,True,True,True,True,6,5,7,12,1,13,South,7.5,South
-12,-10,-7,True,True,True,True,1,9,9,12,1,12,South,7.75,South
-13,-11,-8,True,True,True,True,8,2,7,7,1,11,South,6,South
