@relation prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute scoreN numeric
@attribute ghost1-livingN {True,False}
@attribute ghost2-livingN {True,False}
@attribute ghost3-livingN {True,False}
@attribute ghost4-livingN {True,False}
@attribute distance-ghost1N numeric
@attribute distance-ghost2N numeric
@attribute distance-ghost3N numeric
@attribute distance-ghost4N numeric
@attribute prev-distance-ghost1N numeric
@attribute prev-distance-ghost2N numeric
@attribute prev-distance-ghost3N numeric
@attribute prev-distance-ghost4N numeric
@attribute posXN numeric
@attribute posYN numeric
@attribute directionN {North,South,East,West,Stop}
@attribute wall-eastN {True,False}
@attribute wall-southN {True,False}
@attribute wall-westN {True,False}
@attribute wall-northN {True,False}
@attribute moveN {North,South,East,West,Stop}
@attribute fx numeric

@data
-3,True,True,True,True,13,12,6,0,12,9,4,1,12,10,Stop,False,False,False,False,North,194,True,True,True,False,13,5,8,0,11,10,5,2,13,10,South,False,False,False,False,South,2.749075
-4,True,True,True,True,15,9,5,1,13,12,6,0,12,11,North,False,False,False,False,East,193,True,True,True,False,8,11,6,0,13,5,8,0,13,9,South,False,False,False,False,South,2.749075
-5,True,True,True,True,11,10,5,2,15,9,5,1,13,11,East,False,False,False,False,South,192,True,True,True,False,10,8,8,0,8,11,6,0,13,8,South,False,False,False,False,South,2.749075
192,True,True,True,False,10,8,8,0,8,11,6,0,13,8,South,False,False,False,False,South,189,True,True,True,False,12,10,6,0,16,11,8,0,12,6,West,False,False,False,False,West,3.841875
191,True,True,True,False,12,8,6,0,10,8,8,0,13,7,South,False,False,False,False,South,188,True,True,True,False,13,8,3,0,12,10,6,0,11,6,West,False,False,False,False,West,3.900085
190,True,True,True,False,16,11,8,0,12,8,6,0,13,6,South,False,False,False,False,West,187,True,True,True,False,8,8,5,0,13,8,3,0,10,6,West,False,False,False,False,South,3.933348
189,True,True,True,False,12,10,6,0,16,11,8,0,12,6,West,False,False,False,False,West,186,True,True,True,False,10,7,1,0,8,8,5,0,10,5,South,False,False,False,False,West,5.000535
188,True,True,True,False,13,8,3,0,12,10,6,0,11,6,West,False,False,False,False,West,185,True,True,True,False,12,4,0,0,10,7,1,0,9,5,West,False,False,False,False,West,13.659998
186,True,True,True,False,10,7,1,0,8,8,5,0,10,5,South,False,False,False,False,West,383,True,True,False,False,7,4,0,0,9,5,0,0,8,6,North,False,False,False,False,North,5.200113
185,True,True,True,False,12,4,0,0,10,7,1,0,9,5,West,False,False,False,False,West,382,True,True,False,False,7,3,0,0,7,4,0,0,8,7,North,False,False,False,False,North,5.407083
384,True,True,False,False,9,5,0,0,12,4,0,0,8,5,West,False,False,False,False,North,381,True,True,False,False,3,2,0,0,7,3,0,0,8,8,North,False,False,False,False,North,5.407083
383,True,True,False,False,7,4,0,0,9,5,0,0,8,6,North,False,False,False,False,North,380,True,True,False,False,5,2,0,0,3,2,0,0,8,9,North,False,False,False,False,East,7.683749
381,True,True,False,False,3,2,0,0,7,3,0,0,8,8,North,False,False,False,False,North,378,True,True,False,False,8,2,0,0,7,0,0,0,9,10,North,False,False,False,False,East,7.427624
379,True,True,False,False,7,0,0,0,5,2,0,0,9,9,East,False,False,False,False,North,376,True,True,False,False,10,1,0,0,11,1,0,0,10,9,South,False,False,False,False,West,13.830748
377,True,True,False,False,11,1,0,0,8,2,0,0,10,10,East,False,False,False,False,South,574,True,False,False,False,6,0,0,0,7,0,0,0,8,9,West,False,False,False,False,West,2.988125
376,True,True,False,False,10,1,0,0,11,1,0,0,10,9,South,False,False,False,False,West,573,True,False,False,False,6,0,0,0,6,0,0,0,7,9,West,False,False,False,False,West,4.482187
575,True,False,False,False,7,0,0,0,10,1,0,0,9,9,West,False,False,False,False,West,572,True,False,False,False,5,0,0,0,6,0,0,0,6,9,West,False,False,False,False,South,8.964374
574,True,False,False,False,6,0,0,0,7,0,0,0,8,9,West,False,False,False,False,West,571,True,False,False,False,0,0,0,0,5,0,0,0,6,8,South,False,False,False,False,West,8.964374
573,True,False,False,False,6,0,0,0,6,0,0,0,7,9,West,False,False,False,False,West,570,True,False,False,False,2,0,0,0,0,0,0,0,5,8,West,False,False,False,False,North,8.964374
572,True,False,False,False,5,0,0,0,6,0,0,0,6,9,West,False,False,False,False,South,569,True,False,False,False,2,0,0,0,2,0,0,0,5,9,North,False,False,False,False,North,17.928748
-3,True,True,True,True,23,24,20,20,24,23,22,20,17,13,Stop,False,True,False,True,West,-6,True,True,True,True,15,19,20,12,18,24,20,16,15,12,South,True,False,True,False,South,0.907895
-4,True,True,True,True,24,21,21,19,23,24,20,20,16,13,West,False,True,False,True,West,-7,True,True,True,True,16,25,15,16,15,19,20,12,15,11,South,False,True,False,False,West,1.008021
-5,True,True,True,True,18,24,20,16,24,21,21,19,15,13,West,True,False,False,True,South,-8,True,True,True,True,18,13,19,9,16,25,15,16,14,11,West,False,True,False,True,West,1.069712
-6,True,True,True,True,15,19,20,12,18,24,20,16,15,12,South,True,False,True,False,South,-9,True,True,True,True,18,16,11,11,18,13,19,9,13,11,West,False,False,False,False,South,1.08125
-7,True,True,True,True,16,25,15,16,15,19,20,12,15,11,South,False,True,False,False,West,-10,True,True,True,True,10,14,13,3,18,16,11,11,13,10,South,True,False,True,False,South,1.212006
-9,True,True,True,True,18,16,11,11,18,13,19,9,13,11,West,False,False,False,False,South,-12,True,True,True,True,10,13,14,11,13,8,17,10,13,8,South,True,False,True,False,South,1.390504
-10,True,True,True,True,10,14,13,3,18,16,11,11,13,10,South,True,False,True,False,South,-13,True,True,True,True,11,8,10,9,10,13,14,11,13,7,South,True,False,True,False,South,1.5311
-11,True,True,True,True,13,8,17,10,10,14,13,3,13,9,South,True,False,True,False,South,-14,True,True,True,True,14,11,7,13,11,8,10,9,13,6,South,True,False,True,False,South,1.843434
-12,True,True,True,True,10,13,14,11,13,8,17,10,13,8,South,True,False,True,False,South,-15,True,True,True,True,16,6,9,8,14,11,7,13,13,5,South,False,False,True,False,South,2.285714
-3,True,True,True,True,22,23,19,20,23,25,22,18,17,13,Stop,False,True,False,True,West,-6,True,True,True,True,21,22,15,16,22,21,17,17,15,12,South,True,False,True,False,South,0.881775
-4,True,True,True,True,23,22,19,19,22,23,19,20,16,13,West,False,True,False,True,West,-7,True,True,True,True,18,23,11,13,21,22,15,16,15,11,South,False,True,False,False,West,0.97723
-5,True,True,True,True,22,21,17,17,23,22,19,19,15,13,West,True,False,False,True,South,-8,True,True,True,True,19,19,11,13,18,23,11,13,14,11,West,False,True,False,True,West,1.087571
-6,True,True,True,True,21,22,15,16,22,21,17,17,15,12,South,True,False,True,False,South,-9,True,True,True,True,17,18,11,11,19,19,11,13,13,11,West,False,False,False,False,South,1.096491
-9,True,True,True,True,17,18,11,11,19,19,11,13,13,11,West,False,False,False,False,South,-12,True,True,True,True,15,12,10,6,17,16,9,9,13,8,South,True,False,True,False,South,1.053977
