@relation 'prueba-weka.filters.unsupervised.attribute.Remove-R19-37-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -init 0 -max-candidates 100 -periodic-pruning 10000 -min-density 2.0 -t1 -1.25 -t2 -1.0 -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -num-slots 1 -S 4'

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
369,4,0,15,4,0,0,17,4,0,15,8,West,False,False,False,False,West,cluster6
368,4,0,15,3,0,0,15,4,0,14,8,West,False,False,False,False,West,cluster6
366,4,0,15,2,0,0,17,3,0,12,8,West,True,False,False,False,North,cluster6
365,4,0,15,2,0,0,15,2,0,12,9,North,False,False,False,True,West,cluster6
564,4,0,13,0,0,0,15,2,0,11,9,West,False,True,False,False,West,cluster6
563,4,0,13,0,0,0,13,0,0,10,9,West,False,False,False,False,South,cluster3
562,4,0,12,0,0,0,13,0,0,10,8,South,False,False,True,False,South,cluster3
561,4,0,12,0,0,0,12,0,0,10,7,South,False,False,True,False,South,cluster3
560,4,0,12,0,0,0,12,0,0,10,6,South,False,False,True,False,South,cluster3
559,4,0,11,0,0,0,12,0,0,10,5,South,False,False,False,False,West,cluster3
558,4,0,10,0,0,0,11,0,0,9,5,West,False,False,False,False,West,cluster6
557,4,0,9,0,0,0,10,0,0,8,5,West,False,False,False,False,West,cluster6
556,4,0,8,0,0,0,9,0,0,7,5,West,False,False,False,True,West,cluster6
555,4,0,7,0,0,0,8,0,0,6,5,West,False,False,False,True,West,cluster6
-1,4,0,11,6,6,0,11,7,7,1,11,Stop,True,False,False,True,South,cluster7
-2,4,0,9,4,6,0,11,6,6,1,10,South,True,False,True,False,South,cluster5
-5,4,0,7,3,6,0,7,4,6,3,9,East,False,False,False,True,South,cluster7
-7,4,0,6,5,9,0,7,3,8,2,8,West,False,False,False,False,West,cluster6
-8,4,0,6,5,9,0,6,5,9,1,8,West,True,False,False,False,South,cluster3
-9,4,0,6,7,10,0,6,5,9,1,7,South,True,False,False,False,South,cluster3
-10,4,0,4,7,11,0,6,7,10,1,6,South,True,False,True,False,South,cluster5
-12,4,0,2,9,13,0,2,9,13,2,5,East,False,False,False,True,East,cluster7
-13,4,0,2,8,13,0,2,9,13,3,5,East,False,False,False,True,South,cluster7
186,4,0,0,8,13,0,2,8,13,3,4,South,False,False,False,False,East,cluster10
185,4,0,0,8,13,0,0,8,13,4,4,East,False,False,False,False,East,cluster10
184,4,0,0,8,13,0,0,8,13,5,4,East,False,False,False,False,East,cluster10
181,4,0,0,3,10,0,0,5,11,8,4,East,False,False,False,False,East,cluster10
180,4,0,0,3,12,0,0,3,10,9,4,East,False,False,False,False,East,cluster10
178,4,0,0,3,13,0,0,3,14,10,5,North,False,False,False,False,North,cluster8
376,4,0,0,0,10,0,0,1,12,10,7,North,False,False,True,False,South,cluster8
374,4,0,0,0,11,0,0,0,10,10,5,South,False,False,False,False,East,cluster10
372,4,0,0,0,12,0,0,0,11,12,5,East,False,True,False,True,East,cluster4
571,4,0,0,0,12,0,0,0,12,13,5,East,False,False,False,True,South,cluster7
