@relation prueba-weka.filters.unsupervised.attribute.Remove-R19-37

@attribute score numeric
@attribute ghosts-living numeric
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}

@data
189,4,0,14,2,0,0,14,4,2,10,11,East,False,False,False,True,East
183,4,0,15,7,0,0,15,5,0,14,9,East,False,False,False,False,East
181,4,0,17,11,0,0,15,9,0,16,9,East,False,False,False,True,South
180,4,0,16,11,0,0,17,11,0,16,8,South,False,False,False,False,East
178,4,0,18,11,0,0,18,11,0,18,8,East,False,False,True,False,West
177,4,0,16,9,0,0,18,11,0,17,8,West,False,False,False,False,South
176,4,0,16,10,0,0,16,9,0,17,7,South,False,True,False,False,East
175,4,0,16,10,0,0,16,10,0,18,7,East,False,False,True,False,South
374,4,0,16,10,0,0,16,10,0,18,6,South,True,False,True,False,North
373,4,0,18,8,0,0,16,10,0,18,7,North,False,False,True,False,West
372,4,0,18,6,0,0,18,8,0,17,7,West,False,True,False,False,North
371,4,0,18,5,0,0,18,6,0,17,8,North,False,False,False,False,West
369,4,0,15,4,0,0,17,4,0,15,8,West,False,False,False,False,West
368,4,0,15,3,0,0,15,4,0,14,8,West,False,False,False,False,West
366,4,0,15,2,0,0,17,3,0,12,8,West,True,False,False,False,North
365,4,0,15,2,0,0,15,2,0,12,9,North,False,False,False,True,West
564,4,0,13,0,0,0,15,2,0,11,9,West,False,True,False,False,West
563,4,0,13,0,0,0,13,0,0,10,9,West,False,False,False,False,South
562,4,0,12,0,0,0,13,0,0,10,8,South,False,False,True,False,South
561,4,0,12,0,0,0,12,0,0,10,7,South,False,False,True,False,South
560,4,0,12,0,0,0,12,0,0,10,6,South,False,False,True,False,South
559,4,0,11,0,0,0,12,0,0,10,5,South,False,False,False,False,West
558,4,0,10,0,0,0,11,0,0,9,5,West,False,False,False,False,West
557,4,0,9,0,0,0,10,0,0,8,5,West,False,False,False,False,West
556,4,0,8,0,0,0,9,0,0,7,5,West,False,False,False,True,West
555,4,0,7,0,0,0,8,0,0,6,5,West,False,False,False,True,West
0,4,0,11,7,7,0,0,0,0,1,11,Stop,True,False,False,True,Stop
-1,4,0,11,6,6,0,11,7,7,1,11,Stop,True,False,False,True,South
-2,4,0,9,4,6,0,11,6,6,1,10,South,True,False,True,False,South
-5,4,0,7,3,6,0,7,4,6,3,9,East,False,False,False,True,South
-7,4,0,6,5,9,0,7,3,8,2,8,West,False,False,False,False,West
-8,4,0,6,5,9,0,6,5,9,1,8,West,True,False,False,False,South
-9,4,0,6,7,10,0,6,5,9,1,7,South,True,False,False,False,South
-10,4,0,4,7,11,0,6,7,10,1,6,South,True,False,True,False,South
-12,4,0,2,9,13,0,2,9,13,2,5,East,False,False,False,True,East
-13,4,0,2,8,13,0,2,9,13,3,5,East,False,False,False,True,South
186,4,0,0,8,13,0,2,8,13,3,4,South,False,False,False,False,East
185,4,0,0,8,13,0,0,8,13,4,4,East,False,False,False,False,East
184,4,0,0,8,13,0,0,8,13,5,4,East,False,False,False,False,East
181,4,0,0,3,10,0,0,5,11,8,4,East,False,False,False,False,East
180,4,0,0,3,12,0,0,3,10,9,4,East,False,False,False,False,East
178,4,0,0,3,13,0,0,3,14,10,5,North,False,False,False,False,North
376,4,0,0,0,10,0,0,1,12,10,7,North,False,False,True,False,South
