@relation 'prueba-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C21-Llast-weka.filters.unsupervised.attribute.Remove-R22-43-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 4-I21-weka.filters.unsupervised.attribute.Remove-R22-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0-weka.filters.unsupervised.attribute.AddCluster-Wweka.clusterers.SimpleKMeans -N 10 -A \"weka.core.EuclideanDistance -R first-last\" -I 500 -S 4-I21'

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute prev-distance-ghost1 numeric
@attribute prev-distance-ghost2 numeric
@attribute prev-distance-ghost3 numeric
@attribute prev-distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West,Stop}
@attribute cluster {cluster1,cluster2,cluster3,cluster4,cluster5,cluster6,cluster7,cluster8,cluster9,cluster10}

@data
0.052716,True,True,True,True,0.309524,0.26087,0.159091,0.190476,0.380952,0.369565,0.25,0.214286,0.48,0.166667,South,True,False,True,False,South,cluster8
0.049521,True,True,True,True,0.309524,0.326087,0.25,0.047619,0.285714,0.282609,0.25,0.285714,0.48,0.083333,South,False,False,True,False,South,cluster7
0.047923,True,True,True,True,0.261905,0.347826,0.318182,0.190476,0.309524,0.326087,0.25,0.047619,0.48,0.041667,South,True,False,True,False,South,cluster8
0.046326,True,True,True,True,0.309524,0.347826,0.25,0.190476,0.261905,0.347826,0.318182,0.190476,0.48,0,South,False,True,True,False,West,cluster7
0.044728,True,True,True,True,0.309524,0.326087,0.295455,0.214286,0.309524,0.347826,0.25,0.190476,0.44,0,West,False,True,False,True,West,cluster4
0.043131,True,True,True,True,0.285714,0.347826,0.272727,0.119048,0.309524,0.326087,0.295455,0.214286,0.4,0,West,False,True,False,True,West,cluster4
0.041534,True,True,True,True,0.309524,0.282609,0.227273,0.119048,0.285714,0.347826,0.272727,0.119048,0.36,0,West,False,True,False,True,West,cluster4
0.039936,True,True,True,True,0.285714,0.304348,0.25,0.095238,0.309524,0.282609,0.227273,0.119048,0.32,0,West,False,True,False,True,West,cluster4
0.038339,True,True,True,True,0.238095,0.217391,0.181818,0.02381,0.285714,0.304348,0.25,0.095238,0.28,0,West,False,True,False,True,West,cluster4
0.036741,True,True,True,True,0.238095,0.173913,0.113636,0.02381,0.238095,0.217391,0.181818,0.02381,0.24,0,West,False,True,False,True,West,cluster4
0.354633,True,True,True,False,0.190476,0.152174,0.136364,0,0.238095,0.173913,0.113636,0.02381,0.2,0,West,True,True,False,False,North,cluster6
0.353035,True,True,True,False,0.190476,0.130435,0.090909,0,0.190476,0.152174,0.136364,0,0.2,0.041667,North,True,False,True,False,North,cluster5
0.351438,True,True,True,False,0.309524,0.043478,0.113636,0,0.190476,0.130435,0.090909,0,0.2,0.083333,North,False,False,False,False,North,cluster9
0.34984,True,True,True,False,0.095238,0.152174,0.090909,0,0.309524,0.043478,0.113636,0,0.2,0.125,North,False,False,True,False,North,cluster5
0.348243,True,True,True,False,0.238095,0.152174,0.136364,0,0.095238,0.152174,0.090909,0,0.2,0.166667,North,False,False,True,False,West,cluster5
0.346645,True,True,True,False,0.142857,0.065217,0.090909,0,0.238095,0.152174,0.136364,0,0.16,0.166667,West,False,False,False,False,West,cluster6
0.34345,True,True,True,False,0,0.108696,0.090909,0,0,0.108696,0.045455,0,0.12,0.208333,North,False,False,False,False,West,cluster9
0.341853,True,True,True,False,0.047619,0.108696,0.022727,0,0,0.108696,0.090909,0,0.08,0.208333,West,True,False,False,False,South,cluster6
0.658147,False,True,True,False,0,0.065217,0.136364,0,0,0.108696,0.068182,0,0.08,0.125,South,True,False,False,False,North,cluster7
0.65655,False,True,True,False,0,0.086957,0.022727,0,0,0.065217,0.136364,0,0.08,0.166667,North,True,False,False,False,North,cluster9
0.974441,False,True,False,False,0,0.152174,0,0,0,0.086957,0.022727,0,0.08,0.208333,North,True,False,False,False,South,cluster9
0.972843,False,True,False,False,0,0.152174,0,0,0,0.152174,0,0,0.08,0.166667,South,True,False,False,False,South,cluster9
0.971246,False,True,False,False,0,0.021739,0,0,0,0.152174,0,0,0.08,0.125,South,True,False,False,False,East,cluster9
0.969649,False,True,False,False,0,0.065217,0,0,0,0.021739,0,0,0.12,0.125,East,False,False,False,False,South,cluster9
