@relation prueba-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R2-weka.filters.supervised.instance.Resample-B1.0-S1-Z100.0

@attribute score numeric
@attribute ghost1-living {True,False}
@attribute ghost2-living {True,False}
@attribute ghost3-living {True,False}
@attribute ghost4-living {True,False}
@attribute distance-ghost1 numeric
@attribute distance-ghost2 numeric
@attribute distance-ghost3 numeric
@attribute distance-ghost4 numeric
@attribute posX numeric
@attribute posY numeric
@attribute direction {North,South,East,West,Stop}
@attribute wall-east {True,False}
@attribute wall-south {True,False}
@attribute wall-west {True,False}
@attribute wall-north {True,False}
@attribute move {North,South,East,West}

@data
359,False,False,True,True,0,0,16,17,10,4,North,False,False,False,False,North
-5,True,True,True,True,10,7,10,11,1,14,South,True,False,False,False,South
379,True,False,False,True,8,0,0,13,1,7,South,True,False,False,False,South
182,False,True,True,True,0,3,10,15,8,7,North,False,False,False,False,East
385,False,False,True,True,0,0,9,13,12,8,East,False,False,False,False,North
369,False,False,True,True,0,0,8,9,15,7,North,False,False,False,False,North
357,False,False,True,True,0,0,15,25,10,6,North,False,False,False,False,North
-2,True,True,True,True,10,4,6,16,1,10,South,True,False,True,False,South
539,False,False,True,False,0,0,21,0,24,15,West,False,False,False,False,West
167,False,True,True,True,0,4,22,26,6,6,East,False,True,False,False,East
185,True,True,False,True,4,5,0,2,3,6,East,False,False,False,False,East
-13,True,True,True,True,5,5,4,3,1,6,South,True,False,False,False,East
365,False,False,True,True,0,0,14,18,10,13,North,False,False,True,False,North
-4,True,True,True,True,6,3,0,16,4,11,East,False,True,False,True,East
-23,True,True,True,True,3,13,22,22,4,10,North,False,False,False,True,West
383,True,False,False,True,2,0,0,9,5,5,West,False,False,False,True,West
352,False,False,True,True,0,0,13,2,17,15,North,False,False,True,False,North
374,True,False,False,True,3,0,0,20,5,4,West,False,False,False,False,West
386,True,False,False,True,3,0,0,7,8,5,South,False,False,False,False,West
-14,True,True,True,True,5,11,16,30,1,7,South,True,False,True,False,South
-10,True,True,True,True,1,8,7,8,1,9,South,True,False,True,False,South
-5,True,True,True,True,13,20,17,23,1,14,South,True,False,False,False,South
-8,True,True,True,True,8,11,11,16,8,9,South,False,False,False,False,East
190,True,False,True,True,8,0,2,14,6,11,North,False,False,False,True,East
389,True,False,False,True,7,0,0,11,7,11,East,False,True,False,True,East
538,False,False,True,False,0,0,18,0,23,15,West,False,False,False,False,West
-4,True,True,True,True,11,21,27,26,1,17,South,True,False,True,False,South
386,True,False,False,True,5,0,0,11,6,8,South,False,False,False,False,East
365,False,False,True,True,0,0,3,8,15,11,North,False,False,False,False,East
-15,True,True,True,True,1,3,13,18,7,5,North,False,False,False,False,East
574,False,False,False,True,0,0,0,19,6,3,East,False,True,False,False,East
373,False,False,True,True,0,0,8,6,20,10,East,False,False,False,False,East
529,False,False,True,False,0,0,6,0,23,6,South,False,False,False,False,West
572,False,False,False,True,0,0,0,8,4,10,North,False,False,False,True,South
-6,True,True,True,True,6,13,8,15,1,15,South,True,False,False,False,South
381,True,False,False,True,2,0,0,18,8,5,South,False,False,False,False,West
529,False,False,True,False,0,0,12,0,19,10,West,False,True,False,False,West
389,True,False,False,True,9,0,0,5,8,8,South,False,False,False,False,South
365,False,True,False,True,0,0,0,17,14,4,West,False,False,False,False,West
533,False,False,True,False,0,0,13,0,22,16,East,False,False,False,True,South
553,False,False,False,True,0,0,0,7,18,6,North,False,False,False,False,North
173,False,True,True,True,0,1,9,14,10,9,East,False,False,False,False,North
-4,True,True,True,True,11,12,13,19,5,10,South,False,False,False,False,East
528,False,False,True,False,0,0,5,0,23,9,South,True,False,False,False,South
360,False,False,True,True,0,0,15,12,13,15,East,False,False,False,False,East
185,True,False,True,True,7,0,1,8,10,8,South,False,False,True,False,West
-19,True,True,True,True,2,4,9,26,7,6,East,False,True,False,True,East
-7,True,True,True,True,12,20,20,25,1,15,South,True,False,False,False,South
531,False,False,True,False,0,0,14,0,20,11,South,False,False,True,False,South
385,False,False,True,True,0,0,7,10,1,4,South,True,False,False,False,East
170,False,True,True,True,0,6,17,30,4,5,East,False,False,False,False,North
374,True,False,False,True,3,0,0,20,5,4,West,False,False,False,False,West
361,False,False,True,True,0,0,15,14,12,15,East,False,False,False,False,East
